time,price,size
2025-07-16D08:11:38.771000000,3162.23,0.019
2025-07-16D08:11:38.771000000,3162.23,0.0017
2025-07-16D08:11:38.771000000,3162.22,0.1582
2025-07-16D08:11:38.771000000,3162.22,0.0017
2025-07-16D08:11:38.774000000,3162.2,0.0253
2025-07-16D08:11:38.774000000,3162.2,0.0016
2025-07-16D08:11:38.774000000,3162.2,0.0016
2025-07-16D08:11:38.774000000,3162.19,0.0032
2025-07-16D08:11:38.774000000,3162.17,0.0317
2025-07-16D08:11:38.774000000,3162.15,0.057
2025-07-16D08:11:43.233000000,3161.31,0.0106
2025-07-16D08:11:43.322000000,3161.31,0.0063
2025-07-16D08:11:43.492000000,3161.3,0.1003
2025-07-16D08:11:43.492000000,3161.3,0.0273
2025-07-16D08:11:43.492000000,3161.3,0.006
2025-07-16D08:11:43.492000000,3161.3,0.006
2025-07-16D08:11:43.492000000,3161.3,0.0017
2025-07-16D08:11:43.492000000,3161.3,0.6495
2025-07-16D08:11:43.874000000,3161.31,0.7197
2025-07-16D08:11:43.938000000,3161.31,0.035
2025-07-16D08:11:48.696000000,3160.8,0.0017
2025-07-16D08:11:48.696000000,3160.8,0.006
2025-07-16D08:11:48.696000000,3160.8,0.006
2025-07-16D08:11:48.696000000,3160.8,0.0016
2025-07-16D08:11:48.696000000,3160.8,0.0016
2025-07-16D08:11:48.696000000,3160.79,0.0032
2025-07-16D08:11:48.696000000,3160.79,0.0017
2025-07-16D08:11:48.696000000,3160.79,0.0017
2025-07-16D08:11:48.840000000,3160.78,0.01
2025-07-16D08:11:49.203000000,3160.78,0.0525
2025-07-16D08:11:53.861000000,3159.91,0.0017
2025-07-16D08:11:53.861000000,3159.9,0.0017
2025-07-16D08:11:53.980000000,3159.88,0.0017
2025-07-16D08:11:53.980000000,3159.88,0.072
2025-07-16D08:11:53.980000000,3159.88,0.006
2025-07-16D08:11:53.980000000,3159.88,0.0205
2025-07-16D08:11:53.980000000,3159.88,1.3257
2025-07-16D08:11:54.105000000,3159.88,1.0153
2025-07-16D08:11:54.374000000,3159.88,0.1312
2025-07-16D08:11:54.377000000,3159.87,0.01
2025-07-16D08:11:58.224000000,3159.3,0.0017
2025-07-16D08:11:58.224000000,3159.3,0.0224
2025-07-16D08:11:58.354000000,3159.29,0.0064
2025-07-16D08:11:58.572000000,3159.3,0.0063
2025-07-16D08:11:58.715000000,3159.3,0.0062
2025-07-16D08:11:58.715000000,3159.3,0.0001
2025-07-16D08:11:58.830000000,3159.3,0.0031
2025-07-16D08:11:59.172000000,3159.3,0.0063
2025-07-16D08:11:59.285000000,3159.29,0.0032
2025-07-16D08:11:59.364000000,3159.3,0.0019
2025-07-16D08:12:03.997000000,3160.08,0.0017
2025-07-16D08:12:03.997000000,3160.08,0.0017
